name,concentration,application,timestamp,channel
Ethylene,0.02698721934369331,NASA,1683922131000,Channel2
Ethylene,0.026987449625788754,NASA,1683923582000,Channel2
Ethylene,0,NASA,1684014922000,Channel2
Ethylene,0.008996200345420929,NASA,1684015989000,Channel2
Ethylene,0.013493379389752806,NASA,1684017440000,Channel2
Ethylene,0.017990097869893792,NASA,1684094353000,Channel2
Ethylene,0.02248796776051041,NASA,1684095805000,Channel2
Ethylene,0.02698837075416894,NASA,1684097257000,Channel2
Ethylene,0.02698837075416894,NASA,1684098708000,Channel2
Ethylene,0.01799217040874961,NASA,1684100159000,Channel2
Ethylene,0.035982728842831095,NASA,1684101610000,Channel2
Ethylene,0.013493149107655762,NASA,1684103061000,Channel2
Ethylene,0.008994818652849852,NASA,1684104511000,Channel2
Ethylene,0.022489579735173737,NASA,1684119919000,Channel2
Ethylene,0.01799147956246327,NASA,1684121372000,Channel2
Ethylene,0.004498560736901356,NASA,1684122820000,Channel2
Ethylene,0.03598318940702039,NASA,1684124276000,Channel2
Ethylene,0.04497892918825362,NASA,1684125725000,Channel2
Ethylene,0.03598318940702039,NASA,1684127178000,Channel2
Ethylene,0.026987449625788754,NASA,1684128627000,Channel2
Ethylene,0.02698606793321768,NASA,1684130080000,Channel2
Ethylene,0.02698445595855435,NASA,1684163460000,Channel2
Ethylene,0.01799078871617853,NASA,1684164911000,Channel2
Ethylene,0.01799078871617853,NASA,1684166362000,Channel2
Ethylene,0.02248796776051041,NASA,1684167814000,Channel2
Ethylene,0.013492458261371023,NASA,1684169260000,Channel2
Ethylene,0.031484398388025185,NASA,1684170714000,Channel2
Ethylene,0.008996660909611822,NASA,1684172170000,Channel2
Ethylene,0.022489579735175333,NASA,1684206997000,Channel2
Ethylene,0.026988025331030566,NASA,1684208446000,Channel2
Ethylene,0.031483362118592484,NASA,1684209900000,Channel2
Ethylene,0.03598203799653996,NASA,1684211348000,Channel2
Ethylene,0.05397305699481554,NASA,1684212802000,Channel2
Ethylene,0.022489694876224656,NASA,1684214253000,Channel2
Ethylene,0.017991134139320103,NASA,1684215702000,Channel2
Ethylene,0.04497938975244132,NASA,1684249080000,Channel2
Ethylene,0.035981577432355465,NASA,1684250531000,Channel2
Ethylene,0.02248865860679195,NASA,1684251983000,Channel2
Ethylene,0.0224888888888874,NASA,1684253434000,Channel2
Ethylene,0.03598364997121288,NASA,1684254886000,Channel2
Ethylene,0.013493379389751209,NASA,1684256340000,Channel2
Ethylene,0.05397305699481874,NASA,1684257785000,Channel2
Ethylene,0.031485319516405375,NASA,1684259239000,Channel2
Ethylene,0.0314849740932654,NASA,1684294068000,Channel2
Ethylene,0.026985607369025187,NASA,1684295518000,Channel2
Ethylene,0.031484283246975865,NASA,1684296967000,Channel2
Ethylene,0.03598238341968793,NASA,1684298418000,Channel2
Ethylene,0.01799067357512921,NASA,1684299873000,Channel2
Ethylene,0.04497789291882252,NASA,1684301321000,Channel2
Ethylene,0.04947472654000963,NASA,1684302776000,Channel2
Ethylene,0.026987219343694906,NASA,1684336153000,Channel2
Ethylene,0.04947679907887503,NASA,1684337602000,Channel2
Ethylene,0.05847230857801122,NASA,1684339053000,Channel2
Ethylene,0.017991709844560316,NASA,1684340503000,Channel2
Ethylene,0.04048036845135387,NASA,1684341954000,Channel2
Ethylene,0.035982037996546354,NASA,1684343404000,Channel2
Ethylene,0.07196522740357154,NASA,1684344859000,Channel2
Ethylene,0.017991249280369423,NASA,1684423563000,Channel2
Ethylene,0.02248981001727078,NASA,1684426471000,Channel2
Ethylene,0.02248981001727078,NASA,1684430773000,Channel2
Ethylene,0.02698698906159786,NASA,1684432277000,Channel2
